Player,GP,G,A,TP,PPG,PIM,POS,firstYear,lastYear,Awards,Cups,All-Star Games,HoF,shap_GP,shap_G,shap_A,shap_TP,shap_PPG,shap_PIM,shap_POS,shap_Awards,shap_Cups,shap_All-Star Games,BaseValue,FinalValue,HoF_Probability
Brendan Perlini,239,46,30,76,0.318,86,1,2016,2020,0,0,0,0,2.1908996,-0.6252636,-1.1705326,-0.8677193,-1.9753371,-1.0569928,-0.6203059,-0.32531726,-1.06558,-1.0407517,-4.187,-12.934800827026368,2.41260558319777e-06
Mike Byers,166,42,34,76,0.45799999999999996,39,1,1967,1972,0,0,0,0,2.1908996,-0.5162095,-1.1213766,-0.7975004,-1.9190944,-1.0569928,-0.6203059,-0.32531726,-1.1047469,-1.0407517,-4.187,-12.689295494079591,3.083952273084053e-06
Raimo Summanen,151,36,40,76,0.503,35,1,1983,1988,0,0,0,0,2.1908996,-0.5162095,-1.1213766,-0.7975004,-2.0567925,-1.0569928,-0.6203059,-0.32531726,-1.1047469,-1.0407517,-4.187,-12.82699366760254,2.6872388136687066e-06
Josh Green,341,36,40,76,0.223,206,1,1998,2012,0,0,0,0,2.0667858,-0.698423,-1.1705326,-0.8677193,-2.6066692,-1.0569928,-0.6203059,-0.32531726,-1.06558,-1.0407517,-4.187,-13.639291488647462,1.1926978913270173e-06
Todd Ewen,518,36,40,76,0.147,1914,1,1986,1997,0,1,0,0,1.966699,-0.726145,-0.9026856,-0.8951084,-2.6786022,-1.7081158,-0.6208383,-0.32531726,-0.49850434,-1.3545173,-4.187,-13.89683409881592,9.218945224838078e-07
Eric Boguniecki,178,34,42,76,0.4270000000000001,105,1,1999,2007,0,0,0,0,2.1908996,-0.5162095,-1.1213766,-0.7579305,-0.71486413,-1.0569928,-0.6203059,-0.32531726,-1.1047469,-1.0407517,-4.187,-11.445495330810548,1.0697440739725463e-05
Dan Fritsche,256,34,42,76,0.297,103,1,2003,2009,0,0,0,0,2.1908996,-0.6252636,-1.1705326,-0.8677193,-1.9753371,-1.0569928,-0.6203059,-0.32531726,-1.06558,-1.0407517,-4.187,-12.934800827026368,2.41260558319777e-06
Mike Gillis,246,33,43,76,0.309,186,1,1978,1984,0,0,0,0,2.1908996,-0.6252636,-1.1705326,-0.8677193,-1.9753371,-1.0569928,-0.6203059,-0.32531726,-1.06558,-1.0407517,-4.187,-12.934800827026368,2.41260558319777e-06
Mikko Eloranta,264,32,44,76,0.28800000000000003,186,1,1999,2003,0,0,0,0,2.0667858,-0.698423,-1.1705326,-0.8677193,-2.6066692,-1.0569928,-0.6203059,-0.32531726,-1.06558,-1.0407517,-4.187,-13.639291488647462,1.1926978913270173e-06
Alan May,393,31,45,76,0.193,1348,1,1987,1995,0,0,0,0,1.6803875,-0.8382405,-0.9304408,-0.9335502,-2.8069735,-0.80967236,-0.6208383,-0.32531726,-1.0042101,-1.3545173,-4.187,-13.810760223388673,1.004760625756953e-06
