Player,GP,G,A,TP,PPG,PIM,POS,firstYear,lastYear,Awards,Cups,All_Star_Games,HoF,FinalValue,HoF_Probability
Stephane Richer,1054,421,398,819,0.777,614,1,1984,2002,0,2,1,0,-5.936361038208008,0.002634665157006282
John LeClair,967,406,413,819,0.847,501,1,1990,2007,0,1,5,0,-6.165073239326477,0.0020971571309336113
Claude Giroux,895,257,562,819,0.915,382,1,2007,2021,0,0,6,0,-2.4978793497085574,0.07600697927085008
Steve Shutt,930,424,393,817,0.878,410,1,1972,1985,0,5,3,1,0.7473781471252439,0.6786071423809577
Thomas Steen,950,264,553,817,0.86,753,1,1981,1995,0,0,0,0,-7.196977817535401,0.000748285189828602
Marian Gaborik,1035,407,408,815,0.787,492,1,2000,2021,0,1,3,0,-8.296366893768312,0.00024935916177276743
Jonathan Toews,943,345,470,815,0.8640000000000001,525,1,2007,2021,1,3,4,0,1.1687457923889157,0.7629182369895181
Wilf Paiement,946,356,458,814,0.86,1757,1,1974,1988,0,0,3,0,-9.19666787338257,0.00010136636328330606
Peter McNab,954,363,450,813,0.852,179,1,1973,1987,0,0,1,0,-9.142292224884034,0.00010703022777378628
Sergei Gonchar,1301,220,591,811,0.623,981,2,1994,2015,0,1,4,0,-2.2891523475646975,0.09202535247097972
Pit Martin,1101,324,485,809,0.735,609,1,1961,1979,0,0,4,0,-5.408851348876953,0.0044568272838733675
Ken Linseman,860,256,551,807,0.938,1727,1,1978,1992,0,1,0,0,-7.62589856338501,0.000487419162701737
Rick Nash,1060,437,368,805,0.759,750,1,2002,2018,1,0,6,0,-2.193032705307007,0.10037790157527926
Milan Hejduk,1020,375,430,805,0.789,316,1,1998,2013,1,1,3,0,-8.760779582977296,0.00015673778109400211
Garry Unger,1105,413,391,804,0.728,1075,1,1967,1983,0,0,7,0,-0.4362902278900149,0.3926252878286356
Ken Hodge,881,328,472,800,0.9079999999999999,779,1,1964,1978,0,2,3,0,-4.121900879859925,0.015954976262898494
Geoff Courtnall,1049,367,432,799,0.762,1465,1,1983,2000,0,1,0,0,-9.597651683807374,6.78833634099332e-05
Corey Perry,1045,377,420,797,0.763,1180,1,2005,2021,2,1,4,0,-4.024525129318238,0.017558112004481815
Justin Williams,1264,320,477,797,0.631,766,1,2000,2020,1,3,1,0,0.08144978332519504,0.5203511961415199
Joe Pavelski,1031,371,425,796,0.772,400,1,2006,2021,0,0,3,0,-8.77661868286133,0.0001542751332721994
Ed Olczyk,1031,342,452,794,0.77,874,1,1984,2000,0,1,0,0,-6.892812931060791,0.0010140252519857714
Zach Parise,1020,387,406,793,0.777,380,1,2005,2021,0,0,1,0,-8.685275756835939,0.00016902823274085797
Wayne Cashman,1027,277,516,793,0.772,1041,1,1964,1983,0,2,1,0,-8.422521316528321,0.00021981129010029065
Mike Ribeiro,1074,228,565,793,0.738,577,1,1999,2017,0,0,1,0,-7.248231851577759,0.0007109254188296153
Dany Heatley,869,372,419,791,0.91,620,1,2001,2015,1,0,3,0,-4.759505056858063,0.008497031650303745
Thomas Vanek,1029,373,416,789,0.767,547,1,2005,2019,0,0,1,0,-8.542602264404298,0.000194944193487817
Rick Vaive,876,441,347,788,0.9,1445,1,1979,1992,0,0,3,0,-7.624442064285279,0.00048812925873954825
Borje Salming,1148,150,637,787,0.6859999999999999,1344,2,1973,1990,0,0,3,1,3.4934351806640622,0.9705004019991379
Claude Lemieux,1215,369,407,786,0.647,1777,1,1983,2009,1,4,0,0,-3.8815354938507083,0.02020258045796951
Alexei Yashin,850,337,444,781,0.919,401,1,1993,2007,0,0,3,0,-6.796861850738526,0.0011160289183253166
Pavel Bure,702,437,342,779,1.11,484,1,1991,2003,3,0,6,1,-1.2279781932830813,0.22653548508236554
Rob Blake,1270,240,537,777,0.612,1679,2,1989,2010,1,1,7,1,3.2348044281005857,0.9621232257485328
John Tavares,820,349,427,776,0.946,367,1,2009,2021,0,0,6,0,-3.8432814712524417,0.020973859408161197
Jean Pronovost,998,391,383,774,0.7759999999999999,413,1,1968,1982,0,0,4,0,-8.221552574157716,0.00026872518022159105
Dave Christian,1009,340,433,773,0.7659999999999999,284,1,1979,1994,0,0,1,0,-9.474321567535402,7.679290050808111e-05
Pete Mahovlich,884,288,485,773,0.8740000000000001,916,1,1965,1981,0,4,2,0,-3.2642951841354373,0.03681659381660883
Sergei Zubov,1068,152,619,771,0.722,337,2,1992,2009,0,2,3,1,3.8054945831298825,0.9782360183530128
Todd Bertuzzi,1159,314,456,770,0.664,1478,1,1995,2014,0,0,2,0,-8.1334328289032,0.0002934725807911257
Pavol Demitra,848,304,464,768,0.9059999999999999,284,1,1993,2010,0,0,3,0,-8.307628833770753,0.0002465673364729813
Rick Kehoe,906,371,396,767,0.847,120,1,1971,1985,0,0,2,0,-8.823882781982423,0.00014715414031976759
Blake Wheeler,935,266,499,765,0.818,615,1,2008,2021,0,0,2,0,-8.165049278259279,0.00028434176072515243
Vaclav Prospal,1108,255,510,765,0.69,581,1,1996,2013,0,0,0,0,-5.871927821159363,0.0028095209342430248
Brian Rolston,1256,342,419,761,0.606,472,1,1994,2012,0,1,1,0,-8.682442390441896,0.00016950774947719084
Kevin Dineen,1188,355,405,760,0.64,2229,1,1984,2003,0,0,2,0,-10.175106727600099,3.810577036703385e-05
Rick MacLeish,846,349,410,759,0.897,434,1,1970,1984,0,2,3,0,-5.587525450706482,0.003730314471554796
Murray Craven,1071,266,493,759,0.7090000000000001,524,1,1982,2000,0,0,0,0,-9.404841148376466,8.231777713453917e-05
