Player,GP,G,A,TP,PPG,PIM,POS,firstYear,lastYear,Awards,Cups,All-Star Games,HoF
Wade Redden,1023,109,348,457,0.447,665,2,1996,2013,0,0,1,0
Pierre Mondou,548,194,262,456,0.8320000000000001,179,1,1976,1985,0,3,0,0
Wayne Merrick,774,191,265,456,0.589,303,1,1972,1984,0,4,0,0
Jude Drouin,666,151,305,456,0.685,346,1,1968,1981,0,0,0,0
Travis Green,970,193,262,455,0.469,764,1,1992,2007,0,0,0,0
Per-Erik Eklund,594,120,335,455,0.7659999999999999,109,1,1985,1994,0,0,0,0
Jerry Korab,975,114,341,455,0.467,1629,2,1970,1985,0,0,2,0
Pat Boutette,756,171,282,453,0.599,1354,1,1975,1985,0,0,0,0
Charlie Huddy,1017,99,354,453,0.445,785,2,1980,1997,0,5,0,0
Derek Sanderson,598,202,250,452,0.7559999999999999,911,1,1965,1978,1,2,0,0
Dan Maloney,737,192,259,451,0.612,1489,1,1970,1982,0,0,1,0
Kristian Huselius,662,190,261,451,0.6809999999999999,256,1,2001,2012,0,0,0,0
Randy Burridge,706,199,251,450,0.637,458,1,1985,1998,0,0,1,0
Blaine Stoughton,526,258,191,449,0.8540000000000001,204,1,1973,1984,0,0,1,0
Mike Walton,588,201,247,448,0.762,357,1,1965,1979,0,2,1,0
Dean McAmmond,996,186,262,448,0.45,490,1,1991,2010,0,0,0,0
Dick Redmond,771,133,312,445,0.5770000000000001,504,2,1969,1982,0,0,0,0
Shawn Burr,878,181,269,440,0.501,1069,1,1984,2000,0,0,0,0
Ian Turnbull,628,123,316,440,0.701,736,2,1973,1983,0,0,1,0
Serge Savard,1040,106,333,439,0.422,592,2,1966,1983,1,8,4,1
Mike O'Connell,860,105,334,439,0.51,605,2,1977,1990,0,0,1,0
Wayne Babych,519,192,246,438,0.8440000000000001,498,1,1978,1987,0,0,1,0
Rob Brown,543,190,248,438,0.807,599,1,1987,2000,0,0,0,0
Willi Plett,834,222,215,437,0.524,2572,1,1975,1988,1,0,0,0
John Tucker,656,177,259,436,0.665,285,1,1983,1996,0,0,0,0
Mariusz Czerkawski,745,215,220,435,0.584,274,1,1993,2006,0,0,1,0
Chico Maki,841,143,292,435,0.517,345,1,1960,1976,0,1,3,0
Sylvain Cote,1171,122,313,435,0.371,545,2,1984,2003,0,0,0,0
Curt Fraser,704,193,240,433,0.615,1306,1,1978,1990,0,0,0,0
Gaetan Duchesne,1028,179,254,433,0.421,617,1,1981,1995,0,0,0,0
Allan Stanley,1244,100,333,433,0.348,792,2,1948,1969,0,4,7,1
Mario Marois,955,76,357,433,0.453,1746,2,1977,1992,0,0,0,0
Christian Ruuttu,621,134,298,432,0.696,714,1,1986,1995,0,0,1,0
Tim Connolly,697,131,300,431,0.618,300,1,1999,2012,0,0,0,0
Kevin Lowe,1254,84,347,431,0.344,1498,2,1979,1998,0,6,7,1
Ab McDonald,762,182,248,430,0.564,200,1,1957,1972,0,4,5,0
Tom Williams,663,161,269,430,0.649,177,1,1961,1976,0,0,0,0
Hakan Loob,450,193,236,429,0.953,189,1,1983,1989,0,1,0,0
Mickey Redmond,538,233,195,428,0.7959999999999999,219,1,1967,1976,0,2,1,0
Carey Wilson,552,169,258,427,0.774,314,1,1983,1993,0,0,0,0
Ilkka Sinisalo,582,204,222,426,0.732,206,1,1981,1992,0,0,0,0
Terry Ruskowski,630,113,313,426,0.6759999999999999,1342,1,1979,1989,0,0,0,0
Frank St. Marseille,707,140,285,425,0.601,242,1,1967,1977,0,0,1,0
Jim Peplinski,711,161,263,424,0.596,1467,1,1980,1995,0,1,0,0
Phil Russell,1016,99,325,424,0.417,2038,2,1972,1987,0,0,3,0
Derek Morris,1107,92,332,424,0.383,1004,2,1997,2014,0,0,0,0
Gerry Meehan,670,180,243,423,0.631,111,1,1968,1979,0,0,0,0
Bill Fairbairn,658,162,261,423,0.643,173,1,1968,1979,0,0,0,0
Stephen Weiss,732,156,267,423,0.578,341,1,2001,2015,0,0,0,0
Robert Picard,899,104,319,423,0.471,1025,2,1977,1990,0,0,2,0
Walt Poddubny,468,184,238,422,0.902,454,1,1981,1992,0,0,1,0
Anson Carter,674,202,219,421,0.625,229,1,1996,2007,0,0,0,0
Tom Kurvers,659,93,328,421,0.639,350,2,1984,1995,0,1,0,0
Marty McInnis,796,170,250,420,0.528,330,1,1991,2003,0,0,0,0
Patrice Brisebois,1009,98,322,420,0.416,623,2,1990,2009,0,1,0,0
Gordie Roberts,1097,61,359,420,0.383,1582,2,1979,1994,0,2,0,0
Morris Lukowich,582,199,219,418,0.718,584,1,1979,1987,0,0,2,0
Harry Howell,1411,94,324,418,0.29600000000000004,1298,2,1952,1973,1,0,7,1
Bill Flett,689,202,215,417,0.605,501,1,1967,1980,0,1,1,0
Marek Zidlicky,836,89,328,417,0.499,680,2,2003,2016,0,0,0,0
Bill Derlago,555,189,227,416,0.75,247,1,1978,1987,0,0,0,0
Dave Balon,776,192,222,414,0.534,607,1,1959,1973,0,2,4,0
Randy Cunneyworth,866,189,225,414,0.478,1280,1,1980,1999,0,0,0,0
Brian MacLellan,606,172,241,413,0.682,551,2,1982,1992,0,1,0,0
Craig Hartsburg,570,98,315,413,0.725,818,2,1979,1989,0,0,3,0
Darren Turcotte,635,195,216,411,0.647,301,1,1988,2000,0,0,1,0
Rejean Houle,635,161,247,408,0.643,395,1,1969,1983,0,5,0,0
Petri Skriko,541,183,222,405,0.7490000000000001,246,1,1984,1993,0,0,0,0
Earl Ingarfield,746,179,226,405,0.5429999999999999,239,1,1958,1971,0,0,0,0
Pat Hickey,644,192,212,404,0.627,351,1,1975,1985,0,0,0,0
Blake Dunlop,550,130,274,404,0.735,172,1,1973,1984,0,0,0,0
Mike McEwen,716,108,296,404,0.564,460,2,1976,1988,0,3,1,0
Adam Creighton,708,187,216,403,0.569,1077,1,1983,1997,0,0,0,0
Doug Jarvis,964,139,264,403,0.418,263,1,1975,1988,0,4,0,0
Brad McCrimmon,1222,81,322,403,0.33,1416,2,1979,1997,0,1,1,0
Paul Gardner,447,201,201,402,0.899,207,1,1976,1986,0,0,0,0
Bill Hicke,729,168,234,402,0.551,395,1,1958,1972,0,2,3,0
Marc Tardif,517,194,207,401,0.7759999999999999,443,1,1969,1983,0,2,1,0
Alan Haworth,524,189,211,400,0.763,425,1,1980,1988,0,0,0,0
